0,0	5.25660
0,1	-0.93767
0,2	4.58522
0,3	-1.07208
0,4	-5.93212
0,5	-6.40828
0,6	-3.75254
0,7	-3.12789
0,8	-5.93495
0,9	8.32985
0,10	12.75684
0,11	4.20057
0,12	0.33972
0,13	-8.02047
0,14	-11.50839
0,15	1.32955
0,16	10.76565
0,17	10.21354
0,18	2.60837
0,19	3.04504
0,20	-1.84343
0,21	-4.80652
0,22	1.45822
0,23	-0.99943
0,24	0.61683
0,25	1.18253
0,26	3.16417
0,27	-0.08963
0,28	-3.54251
0,29	0.44933
0,30	4.41459
0,31	-4.85092
0,32	-0.41985
0,33	1.04697
0,34	-0.48165
0,35	-2.95566
0,36	-7.46179
0,37	-0.75677
0,38	6.17199
0,39	6.55775
0,40	-3.49490
0,41	-1.29843
0,42	-5.77936
0,43	3.92088
0,44	-5.53728
0,45	4.45008
0,46	0.70122
0,47	5.56259
0,48	-2.68884
0,49	0.86446
1,0	9.83602
1,1	-1.23511
1,2	9.62041
1,3	16.96322
1,4	1.95139
1,5	1.73751
1,6	11.35811
1,7	-12.35561
1,8	2.76092
1,9	2.40322
1,10	-15.02401
1,11	2.78152
1,12	-0.27201
1,13	9.03193
1,14	-9.20558
1,15	1.42340
1,16	-2.25860
1,17	-9.02383
1,18	-2.08588
1,19	-8.43887
1,20	-2.73178
1,21	-7.54348
1,22	-10.56979
1,23	-0.71125
1,24	5.47067
1,25	-7.05413
1,26	4.65603
1,27	1.61203
1,28	9.95846
1,29	-14.06766
1,30	-2.42121
1,31	3.97231
1,32	-2.08241
1,33	0.17299
1,34	6.17550
1,35	13.89212
1,36	5.58478
1,37	3.05019
1,38	-2.87032
1,39	-5.37950
1,40	5.28973
1,41	2.14504
1,42	5.06741
1,43	-10.92423
1,44	-0.38577
1,45	-3.08259
1,46	19.26668
1,47	-3.69336
1,48	-3.04892
1,49	3.28243
2,0	7.59651
2,1	10.87346
2,2	2.74494
2,3	-2.10721
2,4	-3.75779
2,5	-1.02422
2,6	-7.97077
2,7	-10.65839
2,8	-7.67662
2,9	-0.28405
2,10	5.26596
2,11	2.51982
2,12	2.81332
2,13	5.27379
2,14	8.06285
2,15	2.91093
2,16	-2.95580
2,17	2.67440
2,18	-1.55595
2,19	6.59939
2,20	0.02604
2,21	3.24833
2,22	-5.29406
2,23	-5.55295
2,24	9.86581
2,25	-10.88384
2,26	7.50841
2,27	-4.42077
2,28	-0.07309
2,29	-4.70774
2,30	0.81514
2,31	3.62882
2,32	11.00207
2,33	-8.14322
2,34	2.91758
2,35	1.50503
2,36	0.95393
2,37	-0.43363
2,38	2.01274
2,39	-1.06060
2,40	-3.89234
2,41	2.06447
2,42	13.58759
2,43	-10.72375
